symbol,company_name,sector,industry,isin,market_cap_category,nifty50,nifty_next50,listing_status
20MICRONS,20 Microns Ltd,Unknown,Unknown,INE144J01027,Unknown,false,false,Listed
21STCENMGM,21st Century Management Services Ltd,Unknown,Unknown,INE253B01015,Unknown,false,false,Listed
360ONE,360 ONE WAM Ltd,Financial Services,Financial Services,INE466L01038,Mid Cap,false,false,Listed
3BBLACKBIO,3B Blackbio Dx Ltd,Unknown,Unknown,INE994E01018,Unknown,false,false,Listed
3IINFOLTD,3i Infotech Ltd,Unknown,Unknown,INE748C01038,Unknown,false,false,Listed
3MINDIA,3M India Ltd,Diversified,Diversified,INE470A01017,Mid Cap,false,false,Listed
3PLAND,3P Land Holdings Ltd,Unknown,Unknown,INE105C01023,Unknown,false,false,Listed
5PAISA,5Paisa Capital Ltd,Unknown,Unknown,INE618L01018,Unknown,false,false,Listed
63MOONS,63 moons technologies Ltd,Unknown,Unknown,INE111B01023,Unknown,false,false,Listed
A2ZINFRA,A2Z Infra Engineering Ltd,Unknown,Unknown,INE619I01012,Unknown,false,false,Listed
AAATECH,AAA Technologies Ltd,Unknown,Unknown,INE0D0U01013,Unknown,false,false,Listed
AADHARHFC,Aadhar Housing Finance Ltd,Financial Services,Financial Services,INE883F01010,Small Cap,false,false,Listed
AAKASH,Aakash Exploration Services Ltd,Unknown,Unknown,INE087Z01024,Unknown,false,false,Listed
AARNAV,Aarnav Fashions Ltd,Unknown,Unknown,INE750R01016,Unknown,false,false,Listed
AARON,Aaron Industries Ltd,Unknown,Unknown,INE721Z01010,Unknown,false,false,Listed
AARTECH,Aartech Solonics Ltd,Unknown,Unknown,INE01C001026,Unknown,false,false,Listed
AARTIDRUGS,Aarti Drugs Ltd,Healthcare,Healthcare,INE767A01016,Micro Cap,false,false,Listed
AARTIIND,Aarti Industries Ltd,Chemicals,Chemicals,INE769A01020,Small Cap,false,false,Listed
AARTIPHARM,Aarti Pharmalabs Ltd,Healthcare,Healthcare,INE0LRU01027,Micro Cap,false,false,Listed
AARTISURF,Aarti Surfactants Ltd,Unknown,Unknown,INE09EO01013,Unknown,false,false,Listed
AARVI,Aarvi Encon Ltd,Unknown,Unknown,INE754X01016,Unknown,false,false,Listed
AAVAS,Aavas Financiers Ltd,Financial Services,Financial Services,INE216P01012,Small Cap,false,false,Listed
ABB,ABB India Ltd,Capital Goods,Capital Goods,INE117A01022,Large Cap,false,true,Listed
ABBOTINDIA,Abbott India Ltd,Healthcare,Healthcare,INE358A01014,Mid Cap,false,false,Listed
ABCAPITAL,Aditya Birla Capital Ltd,Financial Services,Financial Services,INE674K01013,Mid Cap,false,false,Listed
ABCOTS,A B Cotspin India Ltd,Unknown,Unknown,INE08PH01015,Unknown,false,false,Listed
ABDL,Allied Blenders and Distillers Ltd,Fast Moving Consumer Goods,Fast Moving Consumer Goods,INE552Z01027,Small Cap,false,false,Listed
ABFRL,Aditya Birla Fashion and Retail Ltd,Consumer Services,Consumer Services,INE647O01011,Small Cap,false,false,Listed
ABINFRA,A B Infrabuild Ltd,Unknown,Unknown,INE00YB01025,Unknown,false,false,Listed
ABLBL,Aditya Birla Lifestyle Brands Ltd,Consumer Services,Consumer Services,INE14LE01019,Small Cap,false,false,Listed
ABMINTLLTD,ABM International Ltd,Unknown,Unknown,INE251C01025,Unknown,false,false,Listed
ABMKNO,ABM Knowledgeware Ltd,Unknown,Unknown,INE850B01026,Unknown,false,false,Listed
ABREL,Aditya Birla Real Estate Ltd,Realty,Realty,INE055A01016,Small Cap,false,false,Listed
ABSLAMC,Aditya Birla Sun Life AMC Ltd,Financial Services,Financial Services,INE404A01024,Small Cap,false,false,Listed
ACC,ACC Ltd,Construction Materials,Construction Materials,INE012A01025,Mid Cap,false,false,Listed
ACCELYA,Accelya Solutions India Ltd,Unknown,Unknown,INE793A01012,Unknown,false,false,Listed
ACE,Action Construction Equipment Ltd,Capital Goods,Capital Goods,INE731H01025,Small Cap,false,false,Listed
ACEINTEG,Ace Integrated Solutions Ltd,Unknown,Unknown,INE543V01017,Unknown,false,false,Listed
ACI,Archean Chemical Industries Ltd,Chemicals,Chemicals,INE128X01021,Micro Cap,false,false,Listed
ACL,Andhra Cements Ltd,Unknown,Unknown,INE666E01020,Unknown,false,false,Listed
ACMESOLAR,Acme Solar Holdings Ltd,Power,Power,INE622W01025,Small Cap,false,false,Listed
ACSTECH,ACS Technologies Ltd,Unknown,Unknown,INE366C01021,Unknown,false,false,Listed
ACUTAAS,Acutaas Chemicals Ltd,Healthcare,Healthcare,INE00FF01025,Small Cap,false,false,Listed
ADANIENSOL,Adani Energy Solutions Ltd,Power,Power,INE931S01010,Large Cap,false,true,Listed
ADANIENT,Adani Enterprises Ltd,Metals & Mining,Metals & Mining,INE423A01024,Large Cap,true,false,Listed
ADANIGREEN,Adani Green Energy Ltd,Power,Power,INE364U01010,Large Cap,false,true,Listed
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Services,Services,INE742F01042,Large Cap,true,false,Listed
ADANIPOWER,Adani Power Ltd,Power,Power,INE814H01029,Large Cap,false,true,Listed
ADFFOODS,ADF Foods Ltd,Unknown,Unknown,INE982B01027,Unknown,false,false,Listed
ADL,Archidply Decor Ltd,Unknown,Unknown,INE0CHO01012,Unknown,false,false,Listed
ADOR,Ador Welding Ltd,Unknown,Unknown,INE045A01017,Unknown,false,false,Listed
ADROITINFO,Adroit Infotech Ltd,Unknown,Unknown,INE737B01033,Unknown,false,false,Listed
ADSL,Allied Digital Services Ltd,Unknown,Unknown,INE102I01027,Unknown,false,false,Listed
ADVAIT,Advait Energy Transitions Ltd,Unknown,Unknown,INE0ALI01010,Unknown,false,false,Listed
ADVANCE,Advance Agrolife Ltd,Unknown,Unknown,INE1B0W01010,Unknown,false,false,Listed
ADVANIHOTR,Advani Hotels & Resorts (India) Ltd,Unknown,Unknown,INE199C01026,Unknown,false,false,Listed
ADVENTHTL,Advent Hotels International Ltd,Unknown,Unknown,INE28GN01010,Unknown,false,false,Listed
ADVENZYMES,Advanced Enzyme Technologies Ltd,Healthcare,Healthcare,INE837H01020,Micro Cap,false,false,Listed
AEGISLOG,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,INE208C01025,Small Cap,false,false,Listed
AEGISVOPAK,Aegis Vopak Terminals Ltd,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,INE0INX01018,Small Cap,false,false,Listed
AEPL,Artemis Electricals and Projects Ltd,Unknown,Unknown,INE757T01025,Unknown,false,false,Listed
AEQUS,Aequs Ltd,Capital Goods,Capital Goods,INE947N01017,Micro Cap,false,false,Listed
AEROENTER,Aeroflex Enterprises Ltd,Unknown,Unknown,INE065D01027,Unknown,false,false,Listed
AEROFLEX,Aeroflex Industries Ltd,Unknown,Unknown,INE024001021,Unknown,false,false,Listed
AERONEU,Aeroflex Neu Ltd,Unknown,Unknown,INE035801013,Unknown,false,false,Listed
AETHER,Aether Industries Ltd,Chemicals,Chemicals,INE0BWX01014,Micro Cap,false,false,Listed
AFCONS,Afcons Infrastructure Ltd,Construction,Construction,INE101I01011,Small Cap,false,false,Listed
AFFLE,Affle 3i Ltd,Information Technology,Information Technology,INE00WC01027,Small Cap,false,false,Listed
AFSL,Abans Financial Services Ltd,Unknown,Unknown,INE00ZE01026,Unknown,false,false,Listed
AGARIND,Agarwal Industrial Corporation Ltd,Unknown,Unknown,INE204E01012,Unknown,false,false,Listed
AGARWALEYE,Dr. Agarwal's Health Care Ltd,Healthcare,Healthcare,INE943P01029,Micro Cap,false,false,Listed
AGI,AGI Greenpac Ltd,Unknown,Unknown,INE415A01038,Unknown,false,false,Listed
AGIIL,Agi Infra Ltd,Unknown,Unknown,INE976R01033,Unknown,false,false,Listed
AGL,Allcargo Global Ltd.,Services,Services,INE1YPB01014,Micro Cap,false,false,Listed
AGROPHOS,Agro Phos India Ltd,Unknown,Unknown,INE740V01019,Unknown,false,false,Listed
AHCL,Anlon Healthcare Ltd,Unknown,Unknown,INE0Y8W01025,Unknown,false,false,Listed
AHLADA,Ahlada Engineers Ltd,Unknown,Unknown,INE00PV01013,Unknown,false,false,Listed
AHLEAST,Asian Hotels (East) Ltd,Unknown,Unknown,INE926K01017,Unknown,false,false,Listed
AHLUCONT,Ahluwalia Contracts (India) Ltd,Construction,Construction,INE758C01029,Micro Cap,false,false,Listed
AIAENG,AIA Engineering Ltd,Capital Goods,Capital Goods,INE212H01026,Mid Cap,false,false,Listed
AIIL,Authum Investment & Infrastructure Ltd,Financial Services,Financial Services,INE206F01022,Mid Cap,false,false,Listed
AIRAN,Airan Ltd,Unknown,Unknown,INE645W01026,Unknown,false,false,Listed
AIROLAM,Airo Lam Ltd,Unknown,Unknown,INE801L01010,Unknown,false,false,Listed
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,Healthcare,INE031B01049,Mid Cap,false,false,Listed
AJAXENGG,Ajax Engineering Ltd,Unknown,Unknown,INE274Y01021,Unknown,false,false,Listed
AJMERA,Ajmera Realty & Infra India Ltd,Unknown,Unknown,INE298G01035,Unknown,false,false,Listed
AJOONI,Ajooni Biotech Ltd,Unknown,Unknown,INE820Y01021,Unknown,false,false,Listed
AKASH,Akash Infra-Projects Ltd,Unknown,Unknown,INE737W01013,Unknown,false,false,Listed
AKCAPIT,AK Capital Services Ltd,Unknown,Unknown,INE701G01012,Unknown,false,false,Listed
AKG,Akg Exim Ltd,Unknown,Unknown,INE00Y801016,Unknown,false,false,Listed
AKI,AKI India Ltd,Unknown,Unknown,INE642Z01026,Unknown,false,false,Listed
AKSHAR,Akshar Spintex Ltd,Unknown,Unknown,INE256Z01025,Unknown,false,false,Listed
AKUMS,Akums Drugs and Pharmaceuticals Ltd,Healthcare,Healthcare,INE09XN01023,Micro Cap,false,false,Listed
ALANKIT,Alankit Ltd,Unknown,Unknown,INE914E01040,Unknown,false,false,Listed
ALBERTDAVD,Albert David Ltd,Unknown,Unknown,INE155C01010,Unknown,false,false,Listed
ALEMBICLTD,Alembic Ltd,Unknown,Unknown,INE426A01027,Unknown,false,false,Listed
ALGOQUANT,Algoquant Fintech Ltd,Unknown,Unknown,INE598D01035,Unknown,false,false,Listed
ALICON,Alicon Castalloy Ltd,Unknown,Unknown,INE062D01024,Unknown,false,false,Listed
ALIVUS,Alivus Life Sciences Ltd,Healthcare,Healthcare,INE03Q201024,Micro Cap,false,false,Listed
ALKEM,Alkem Laboratories Ltd,Healthcare,Healthcare,INE540L01014,Mid Cap,false,false,Listed
