ticker,company_name,sector,industry
HCLTECH,HCL Technologies Ltd,Information Technology,IT Services
HDFCBANK,HDFC Bank Ltd,Financial Services,Private Sector Bank
HCG,HealthCare Global Enterprises Ltd,Healthcare,Hospital Services
HCL-INSYS,HCL Infosystems Ltd,Information Technology,Technology Hardware
WAAREEENER,Waaree Energies Ltd,Capital Goods,Solar Equipment
TCS,Tata Consultancy Services Ltd,Information Technology,IT Services
INFY,Infosys Ltd,Information Technology,IT Services
RELIANCE,Reliance Industries Ltd,Energy,Oil Gas and Consumable Fuels
KPITTECH,KPIT Technologies Ltd,Information Technology,Software Services
HAPPSTMNDS,Happiest Minds Technologies Ltd,Information Technology,Software Services
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,Automobiles
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Automobiles
M&M,Mahindra and Mahindra Ltd,Consumer Discretionary,Automobiles
BAJFINANCE,Bajaj Finance Ltd,Financial Services,Non Banking Financial Company
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,Holding Company
ICICIBANK,ICICI Bank Ltd,Financial Services,Private Sector Bank
SBIN,State Bank of India,Financial Services,Public Sector Bank
AXISBANK,Axis Bank Ltd,Financial Services,Private Sector Bank
KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,Private Sector Bank
LT,Larsen and Toubro Ltd,Construction,Engineering and Construction
ITC,ITC Ltd,Consumer Staples,FMCG
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,FMCG
NESTLEIND,Nestle India Ltd,Consumer Staples,FMCG
BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Telecom Services
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,Pharmaceuticals
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals
CIPLA,Cipla Ltd,Healthcare,Pharmaceuticals
DIVISLAB,Divis Laboratories Ltd,Healthcare,Pharmaceuticals
ASIANPAINT,Asian Paints Ltd,Consumer Discretionary,Paints
TITAN,Titan Company Ltd,Consumer Discretionary,Jewellery and Watches
ULTRACEMCO,UltraTech Cement Ltd,Construction Materials,Cement
GRASIM,Grasim Industries Ltd,Materials,Diversified Materials
JSWSTEEL,JSW Steel Ltd,Metals,Steel
TATASTEEL,Tata Steel Ltd,Metals,Steel
HINDALCO,Hindalco Industries Ltd,Metals,Aluminium
ADANIENT,Adani Enterprises Ltd,Services,Diversified
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Services,Ports
POWERGRID,Power Grid Corporation of India Ltd,Utilities,Power Transmission
NTPC,NTPC Ltd,Utilities,Power Generation
ONGC,Oil and Natural Gas Corporation Ltd,Energy,Oil Exploration
COALINDIA,Coal India Ltd,Energy,Coal
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,Automobiles
HEROMOTOCO,Hero MotoCorp Ltd,Consumer Discretionary,Two Wheelers
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers
WIPRO,Wipro Ltd,Information Technology,IT Services
TECHM,Tech Mahindra Ltd,Information Technology,IT Services
LTIM,LTIMindtree Ltd,Information Technology,IT Services
PERSISTENT,Persistent Systems Ltd,Information Technology,Software Services
COFORGE,Coforge Ltd,Information Technology,IT Services
OFSS,Oracle Financial Services Software Ltd,Information Technology,Software Products
DMART,Avenue Supermarts Ltd,Consumer Staples,Retail
ZOMATO,Eternal Ltd,Consumer Services,Internet Services
PAYTM,One 97 Communications Ltd,Financial Services,Fintech
NYKAA,FSN E-Commerce Ventures Ltd,Consumer Discretionary,E-Commerce
